Data,Zamkniecie,Wolumen
2010-07-11,40392.1,301539914
2010-07-18,41060.8,372415271
2010-07-25,42292.1,411244072
2010-08-01,42464.7,419967053
2010-08-08,43421.3,469473693
2010-08-15,42167.93,365279661
2010-08-22,42202.91,255363327
2010-08-29,42083.62,286839282
2010-09-05,42944.94,446969143
2010-09-12,43671.28,454477348
2010-09-19,44145.24,461869762
2010-09-26,45133.77,408724805
2010-10-03,45225.58,550728621
2010-10-10,45227.66,496086639
2010-10-17,45806.33,438361456
2010-10-24,45729.01,502730557
2010-10-31,46229.6,497914726
2010-11-07,47232.31,351302755
2010-11-14,47493.93,332556915
2010-11-21,46005.8,759253513
2010-11-28,45641.9,396921745
2010-12-05,46868.43,356210778
2010-12-12,47510.17,380733139
2010-12-19,47651.54,512250442
2010-12-26,47718.8,292533732
2011-01-02,47489.91,287923139
2011-01-09,46850.41,138457219
2011-01-16,47258.66,328307800
2011-01-23,47641.43,371636618
2011-01-30,47223.01,362744648
2011-02-06,47796.39,742914214
2011-02-13,47547.85,528147175
2011-02-20,46761.43,379638683
2011-02-27,46874.11,371788321
2011-03-06,48295.76,536259405
2011-03-13,47689.93,454328432
2011-03-20,48010.91,531423270
2011-03-27,48626.25,408820828
2011-04-03,49503.34,458138607
2011-04-10,49986.15,508764371
2011-04-17,50016.31,506644921
2011-04-24,49966.31,397323264
2011-05-01,50008.98,517948640
2011-05-08,49321.53,464823286
2011-05-15,48677.61,559610163
2011-05-22,48858.84,501626481
2011-05-29,49425.67,528826506
2011-06-05,49638.88,644977576
2011-06-12,49077.61,477040423
2011-06-19,49353.4,400932824
2011-06-26,48394.02,315674793
2011-07-03,48551.19,381162269
2011-07-10,48700.58,419058717
2011-07-17,47785.85,341460425
2011-07-24,47501.78,400183419
2011-07-31,47152.63,357922895
2011-08-07,42011.33,627229495
2011-08-14,39910.95,1128937417
2011-08-21,38749.61,657393977
2011-08-28,39774,418069335
2011-09-04,40544.28,604857533
2011-09-11,38708.57,523882710
2011-09-18,39254.5,754239573
2011-09-25,36549.47,802350380
2011-10-02,38268.75,599425526
2011-10-09,38174.89,608395600
2011-10-16,40026.63,900193901
2011-10-23,40054.41,587104316
2011-10-30,41686.02,937683290
2011-11-06,40909.81,681305677
2011-11-13,39853.18,677801166
2011-11-20,39106.23,549245069
